dataset,tissue,marker,manual annotation,manual CLname,manual CLID,manual broadtype,DeepSeek-R1 annotation,DeepSeek-R1 broadtype,DeepSeek-R1 BLEU-1,DeepSeek-R1 BLEU-2,DeepSeek-R1 BLEU-avg,DeepSeek-R1 broadtype BLEU-avg,DeepSeek-R1 BLEU-avg-final,DeepSeek-V3 annotation,DeepSeek-V3 broadtype,DeepSeek-V3 BLEU-1,DeepSeek-V3 BLEU-2,DeepSeek-V3 BLEU-avg,DeepSeek-V3 broadtype BLEU-avg,DeepSeek-V3 BLEU-avg-final,DeepSeek-R1-RAG annotation,DeepSeek-R1-RAG broadtype,DeepSeek-R1-RAG BLEU-1,DeepSeek-R1-RAG BLEU-2,DeepSeek-R1-RAG BLEU-avg,DeepSeek-R1-RAG broadtype BLEU-avg,DeepSeek-R1-RAG BLEU-avg-final,DeepSeek-V3-RAG annotation,DeepSeek-V3-RAG broadtype,DeepSeek-V3-RAG BLEU-1,DeepSeek-V3-RAG BLEU-2,DeepSeek-V3-RAG BLEU-avg,DeepSeek-V3-RAG broadtype BLEU-avg,DeepSeek-V3-RAG BLEU-avg-final,DeepSeek-R1-KG-Graph-RAG annotation,DeepSeek-R1-KG-Graph-RAG broadtype,DeepSeek-R1-KG-Graph-RAG BLEU-1,DeepSeek-R1-KG-Graph-RAG BLEU-2,DeepSeek-R1-KG-Graph-RAG BLEU-avg,DeepSeek-R1-KG-Graph-RAG broadtype BLEU-avg,DeepSeek-R1-KG-Graph-RAG BLEU-avg-final,DeepSeek-V3-KG-Graph-RAG annotation,DeepSeek-V3-KG-Graph-RAG broadtype,DeepSeek-V3-KG-Graph-RAG BLEU-1,DeepSeek-V3-KG-Graph-RAG BLEU-2,DeepSeek-V3-KG-Graph-RAG BLEU-avg,DeepSeek-V3-KG-Graph-RAG broadtype BLEU-avg,DeepSeek-V3-KG-Graph-RAG BLEU-avg-final
Azimuth,PBMC,"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B",Intermediate B cell,transitional stage B cell,CL:0000818,b cell,naive B cell,b cell,66.67,57.74,62.2,100.0,69.76,B cell,lymphocyte,60.65,60.65,60.65,0.0,48.52,B intermediate,b cell,60.65,15.97,38.31,100.0,50.65,B intermediate,b cell,60.65,15.97,38.31,100.0,50.65,Memory B cell,b cell,66.67,57.74,62.2,100.0,69.76,memory B cell,b cell,66.67,57.74,62.2,100.0,69.76
Azimuth,PBMC,"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781",Memory B cell,memory B cell,CL:0000787,b cell,B cell,b cell,60.65,60.65,60.65,100.0,68.52,B cell,lymphocyte,60.65,60.65,60.65,0.0,48.52,Memory B cell,b cell,100.0,100.0,100.0,100.0,100.0,memory B cell,b cell,100.0,100.0,100.0,100.0,100.0,Memory B cell,b cell,100.0,100.0,100.0,100.0,100.0,B cell,lymphocyte,60.65,60.65,60.65,0.0,48.52
Azimuth,PBMC,"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3",Naive B cell,naive B cell,CL:0000788,b cell,naive B cell,b cell,100.0,100.0,100.0,100.0,100.0,B cell,lymphocyte,60.65,60.65,60.65,0.0,48.52,B naive,b cell,60.65,15.97,38.31,100.0,50.65,naive B cell,b cell,100.0,100.0,100.0,100.0,100.0,naive B cell,b cell,100.0,100.0,100.0,100.0,100.0,naive B cell,b cell,100.0,100.0,100.0,100.0,100.0
Azimuth,PBMC,"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2",Plasmablast,plasmablast,CL:0000980,b cell,plasma cell,b cell,0.0,0.0,0.0,100.0,20.0,plasma cell,b cell,0.0,0.0,0.0,100.0,20.0,plasmablast,b cell,100.0,100.0,100.0,100.0,100.0,plasmablast,b cell,100.0,100.0,100.0,100.0,100.0,plasma cell,b cell,0.0,0.0,0.0,100.0,20.0,plasma cell,b cell,0.0,0.0,0.0,100.0,20.0
Azimuth,PBMC,"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7",CD4+ Cytotoxic T,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,t/nk cell,"CD4-positive, alpha-beta cytotoxic T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"CD8-positive, alpha-beta cytotoxic T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,"CD4-positive, alpha-beta cytotoxic T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"CD4-positive, alpha-beta cytotoxic T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"CD4-positive, alpha-beta cytotoxic T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"Effector memory CD45RA-positive, alpha-beta T cell, terminally differentiated",t/nk cell,0.0,0.0,0.0,100.0,20.0
Azimuth,PBMC,"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1",CD4+ Naive T,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,t/nk cell,"naive thymus-derived CD4-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"naive thymus-derived CD4-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"naive thymus-derived CD4-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"naive thymus-derived CD4-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"Central memory CD4-positive, alpha-beta T cell",t/nk cell,33.33,13.53,23.43,100.0,38.74,"Central memory CD4-positive, alpha-beta T cell",t/nk cell,33.33,13.53,23.43,100.0,38.74
Azimuth,PBMC,"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2",CD4+ Proliferating T,,,t/nk cell,progenitor cell,progenitor cell,0.0,0.0,0.0,34.31,6.86,cycling cell,progenitor cell,0.0,0.0,0.0,34.31,6.86,"activated CD4-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,CD4+ Proliferating T,t/nk cell,100.0,100.0,100.0,100.0,100.0,"CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0,"Effector memory CD8-positive, alpha-beta T cell",t/nk cell,0.0,0.0,0.0,100.0,20.0
Azimuth,PBMC,"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL",CD4+ Central Memory T,"central memory CD4-positive, alpha-beta T cell",CL:0000904,t/nk cell,"CD4-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD4-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD4-positive, alpha-beta memory T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"CD4-positive, alpha-beta memory T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"Central memory CD4-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"Central memory CD4-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0
Azimuth,PBMC,"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3",CD4+ Effector Memory T,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,t/nk cell,"CD8-positive, alpha-beta memory T cell",T/NK cell,0.0,0.0,0.0,100.0,20.0,"CD4-positive, alpha-beta T cell",t/nk cell,13.53,13.53,13.53,100.0,30.82,"effector CD4-positive, alpha-beta T cell",t/nk cell,60.65,15.97,38.31,100.0,50.65,"effector CD4-positive, alpha-beta T cell",lymphocyte,60.65,15.97,38.31,0.0,30.65,"Effector memory CD4-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0,"Effector memory CD4-positive, alpha-beta T cell",t/nk cell,100.0,100.0,100.0,100.0,100.0
Azimuth,PBMC,"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2",Regulatory T,regulatory T cell,CL:0000815,t/nk cell,regulatory T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,regulatory T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,regulatory T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,regulatory T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,Regulatory T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0,Regulatory T cell,t/nk cell,100.0,100.0,100.0,100.0,100.0
